Model,In-Domain F1,Cross-Domain F1,F1 Drop,Drop %
TF-IDF + FFNN,0.8950240247577164,0.8053820278712158,0.08964199688650054,10.015596722196
E5 Classifier,0.9415541652946987,0.9307601151176571,0.010794050177041603,1.1464077771524865
Fine-tuned BERT,0.9372164012870225,0.9294564678671733,0.007759933419849263,0.8279766987851489
